No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Setup,Use Next.js 15 with App Router,VideoFly uses Next.js 15 App Router for all pages,app/ directory with page.tsx and layout.tsx,pages/ directory,app/dashboard/page.tsx,pages/dashboard.tsx,High,https://nextjs.org/docs/app
2,Setup,Use React 19,VideoFly runs on React 19,React 19 with Server Components by default,Add 'use client' unnecessarily,export default function Page(),('use client') for static content,High,https://react.dev
3,Setup,Use Tailwind CSS v4,VideoFly uses Tailwind CSS v4 with new syntax,@import "tailwindcss" instead of @tailwind directives,@import "tailwindcss" in globals.css,@tailwind base; @tailwind components;,High,https://tailwindcss.com/docs/v4-beta
4,Setup,Use Framer Motion for animations,VideoFly uses framer-motion for animations (not motion/react),import { motion } from "framer-motion",import { motion } from "motion/react",<motion.div initial={{ opacity: 0 }} animate={{ opacity: 1 }}>,High,https://framermotion.com
5,UI Components,Prioritize existing UI components,VideoFly has 55+ UI components in @/components/ui,Always check existing components first,Create new component without checking,import { Button } from "@/components/ui/button",const Button = () => <button>...</button>,High,https://videofly.com/docs/spec
6,UI Components,Use Magic UI for animations,VideoFly has 36+ Magic UI components for animations,Prioritize Magic UI over custom animations,Create custom animation with framer-motion,import { BlurFade } from "@/components/magicui/blur-fade",<motion.div> with custom animation,High,https://videofly.com/docs/spec
7,UI Components,Use Animate UI for number/text animations,VideoFly has 6+ Animate UI components for number and text animations,Use Animate UI for counting typing animations,Create custom number animation,import { CountingNumber } from "@/components/animate-ui",const [count setCount] = useState(0),Medium,https://videofly.com/docs/spec
8,UI Components,Import components correctly,Import from component index or individual files,Use @/components/ui or @/components/magicui,Use relative imports or different paths,import { Button } from "@/components/ui/button",import { Button } from "../../components/ui/button",High,https://videofly.com/docs/spec
9,UI Components,Toast with Sonner,VideoFly uses Sonner for toast notifications,toast() from sonner for all notifications,Custom toast implementation,toast.success("Saved!"),setShowToast(true),High,https://sonner.emilkowal.ski
10,UI Components,Use cn utility for classes,VideoFly uses cn() from @/components/ui for className merging,cn() for conditional classes,Manual className logic,cn("base-class", isActive && "active-class",props.className),`base-class ${isActive ? "active-class" : ""}`,Medium,https://videofly.com/docs/spec
11,Magic UI,BlurFade for entry animations,Use BlurFade for page/section entry animations,BlurFade with delay for staggered entries,No entry animation or manual fade,<BlurFade delay={0.1}>,Fade in manually,Medium,https://videofly.com/docs/spec
12,Magic UI,ShimmerButton for CTAs,Use ShimmerButton for primary call-to-action buttons,ShimmerButton for main actions,Plain Button for CTAs,<ShimmerButton>Generate Video</ShimmerButton>,<Button>Generate Video</Button>,Medium,https://videofly.com/docs/spec
13,Magic UI,HyperText for headings,Use HyperText for animated headline text,HyperText for hero titles,Plain h1 for headings,<HyperText>AI Video Generator</HyperText>,<h1>AI Video Generator</h1>,Low,https://videofly.com/docs/spec
14,Magic UI,BoxReveal for content reveals,Use BoxReveal for animated content reveal,BoxReveal with slide effect for sections,Instant content display,<BoxReveal>Content here</BoxReveal>,<div>Content here</div>,Low,https://videofly.com/docs/spec
15,Magic UI,NumberTicker for numbers,Use NumberTicker for counting number animations,NumberTicker for statistics pricing,Plain number display,<NumberTicker value={1000}>,{count},Low,https://videofly.com/docs/spec
16,Magic UI,Confetti for celebrations,Use fireConfetti() for success celebrations,fireConfetti() after successful action,No celebration on success,fireConfetti(),router.push("/success"),Low,https://videofly.com/docs/spec
17,Magic UI,MagicCard for interactive cards,Use MagicCard for mouse-following gradient cards,MagicCard for feature cards,Plain Card with effects,<MagicCard>Feature</MagicCard>,<Card>Feature</Card>,Low,https://videofly.com/docs/spec
18,Magic UI,BentoGrid for layouts,Use BentoGrid for bento-style grid layouts,BentoGrid with BentoCard for features,Custom grid implementation,<BentoGrid><BentoCard>...</BentoCard></BentoGrid>,<div className="grid">...</div>,Low,https://videofly.com/docs/spec
19,Magic UI,AvatarCircles for user groups,Use AvatarCircles for overlapping avatar display,AvatarCircles for team users,Custom avatar stacking,<AvatarCircles avatarUrls={users}/>,<div className="flex -space-x-2">...</div>,Low,https://videofly.com/docs/spec
20,Magic UI,AnimatedList for staggered lists,Use AnimatedList for auto-playing staggered list,AnimatedList for testimonials features,Custom staggered animation,<AnimatedList>{items.map(...)}</AnimatedList>,items.map((item i) => <div key={i} style={{ animationDelay: i * 0.1 }}>),Low,https://videofly.com/docs/spec
21,Magic UI,VelocityScroll for scrolling text,Use VelocityScroll for velocity-responsive scrolling text,VelocityScroll for marquees,Custom marquee,<VelocityScroll>Scrolling Text</VelocityScroll>,<Marquee>Scrolling Text</Marquee>,Low,https://videofly.com/docs/spec
22,Magic UI,AnimatedBeam for connections,Use AnimatedBeam for connecting elements with lines,AnimatedBeam for flow diagrams,Static SVG lines,<AnimatedBeam fromRef={a} toRef={b}/>,<svg><line/></svg>,Low,https://videofly.com/docs/spec
